index,start_expression,end_expressions,result,best_expr,total_time
1,( + x 0 ),( x ),true,( x ),0.00017022899999999999
2,( + x x ),( * x 2 ),true,( * x 2 ),0.00040007599999999997
3,( + ( + x c0 ) y ),( + ( + x y ) c0 ),true,( + ( + x y ) c0 ),0.001277461
4,( + x ( + y c0 ) ),( + ( + x y ) c0 ),true,( + ( + x y ) c0 ),0.0013162220000000001
5,( + ( - c0 x ) y ),( + ( - y x ) c0 ),true,( + ( - y x ) c0 ),0.001344357
6,( + ( - x y ) y ),( x ),true,( x ),0.074334192
7,( + x ( - y x ) ),( y ),true,( y ),0.054021438000000005
8,( + ( + ( - x y ) z ) y ),( + x z ),true,( + x z ),0.05888755200000001
9,( + ( + z ( - x y ) ) y ),( + z x ),true,( + z x ),0.05732882599999999
10,( + x ( + ( - y x ) z ) ),( + y z ),true,( + y z ),0.05834515299999999
11,( + x ( + z ( - y x ) ) ),( + z y ),true,( + z y ),0.057089784000000005
12,( + x ( - c0 y ) ),( + ( - x y ) c0 ),true,( + ( - x y ) c0 ),0.0010599750000000001
13,( + ( - x y ) ( - y z ) ),( - x z ),true,( - x z ),0.051803883000000016
14,( + ( - x y ) ( - z x ) ),( - z y ),true,( - z y ),0.05318939300000001
15,( * x ( + y ( * z y ) ) ),( * ( + x z ) y ),false,,0.0031201040000000003
16,( * x ( + y ( * y z ) ) ),( * ( + x z ) y ),false,,0.004765444
17,( * y ( + x ( * z y ) ) ),( * y ( + x z ) ),false,,0.002669835
18,( * y ( + x ( * y z ) ) ),( * y ( + x z ) ),false,,0.002520389
19,( + x ( * x y ) ),( * x ( + y 1 ) ),true,( * x ( + y 1 ) ),0.00132512
20,( + x ( * y x ) ),( * ( + y 1 ) x ),true,( * ( + y 1 ) x ),0.001155327
21,( * x ( + y x ) ),( * x ( + y 1 ) ),false,,0.0013899950000000002
22,( * y ( + x x ) ),( * ( + y 1 ) x ),false,,0.001858535
23,( + ( min x ( - y z ) ) z ),( min ( + x z ) y ),false,,0.000864825
24,( + ( min ( - y z ) x ) z ),( min y ( + x z ) ),false,,0.0009215549999999999
25,( + ( min x ( + y c0 ) ) c1 ),( min ( + x c1 ) y ),false,,0.001111148
26,( + ( min ( + y c0 ) x ) c1 ),( min y ( + x c1 ) ),false,,0.00082062
27,( + z ( min x ( - y z ) ) ),( min ( + z x ) y ),false,,0.0009150039999999999
28,( + z ( min ( - y z ) x ) ),( min y ( + z x ) ),false,,0.001142948
29,( + z ( max x ( - y z ) ) ),( max ( + z x ) y ),false,,0.0007619079999999999
30,( + z ( max ( - y z ) x ) ),( max y ( + z x ) ),false,,0.0006688709999999999
31,( + ( max x ( - y z ) ) z ),( max ( + x z ) y ),false,,0.0007000940000000001
32,( + ( max ( - y z ) x ) z ),( max y ( + x z ) ),false,,0.000657901
33,( + ( max x ( + y c0 ) ) c1 ),( max ( + x c1 ) y ),false,,0.000730651
34,( + ( max ( + y c0 ) x ) c1 ),( max y ( + x c1 ) ),false,,0.000743886
35,( + ( max x y ) ( min x y ) ),( + x y ),false,,0.0006320189999999999
36,( + ( max x y ) ( min y x ) ),( + x y ),false,,0.000519721
37,( + ( min x ( + y ( * z c0 ) ) ) ( * z c1 ) ),( min ( + x ( * z c1 ) ) y ),false,,0.001281799
38,( + ( min x ( + ( * y c0 ) z ) ) ( * y c1 ) ),( min ( + x ( * y c1 ) ) z ),false,,0.001304386
39,( + ( min x ( * y c0 ) ) ( * y c1 ) ),( min ( + x ( * y c1 ) ) 0 ),false,,0.001258206
40,( + ( min ( + x ( * y c0 ) ) z ) ( * y c1 ) ),( min ( + ( * y c1 ) z ) x ),false,,0.0013557829999999997
41,( + ( min ( + ( * x c0 ) y ) z ) ( * x c1 ) ),( min y ( + ( * x c1 ) z ) ),false,,0.00160732
42,( + ( min ( * x c0 ) y ) ( * x c1 ) ),( min ( + ( * x c1 ) y ) 0 ),false,,0.0015340639999999997
43,( + ( max x ( + y ( * z c0 ) ) ) ( * z c1 ) ),( max ( + x ( * z c1 ) ) y ),false,,0.0016324170000000002
44,( + ( max x ( + ( * y c0 ) z ) ) ( * y c1 ) ),( max ( + x ( * y c1 ) ) z ),false,,0.001693694
45,( + ( max x ( * y c0 ) ) ( * y c1 ) ),( max ( + x ( * y c1 ) ) 0 ),false,,0.00144491
46,( + ( max ( + x ( * y c0 ) ) z ) ( * y c1 ) ),( max x ( + ( * y c1 ) z ) ),false,,0.001521356
47,( + ( max ( + ( * x c0 ) y ) z ) ( * x c1 ) ),( max ( + ( * x c1 ) z ) y ),false,,0.001585117
48,( + ( max ( * x c0 ) y ) ( * x c1 ) ),( max ( + ( * x c1 ) y ) 0 ),false,,0.001307561
49,( / x ( + 2 ( % x 2 ) ) ),( / ( + x 1 ) 2 ),false,,0.00046908199999999995
50,( + x ( * ( / ( - c0 x ) c1 ) c1 ) ),( - c0 ( % ( - c0 x ) c1 ) ),false,,0.00141266
51,( + x ( * ( / ( - c0 x ) ( + c1 y ) ) c1 ) ),( * y ( + ( - c1 ( % ( - c0 x ) c1 ) ) c0 ) ),false,,0.0018199239999999999
52,( + x ( * ( + y ( / ( - c0 x ) c1 ) ) c1 ) ),( * y ( + ( - c1 ( % ( - c0 x ) c1 ) ) c0 ) ),false,,0.0032262759999999997
